aboutToolStripMenuItem	about…
Add Note  Add Note
added	Added
addedAt  Added at
All  All
AlreadyCreatureWithTopStats	"There is already a creature in your library that has all the available top-stats ({0} {1}).
The currently selected conservative-breeding-mode might show some suggestions that may seem non-optimal.
Change the breeding-mode to "High Stats" for better suggestions."
apply  apply
ApproxOneNarcoberryEvery	That is approx. one Narcoberry every
Available	Available
Baby	Baby
BestPossible	Best Possible
BestPossibleSpeciesLibrary  Best possible {0} for this library
BestPossibleSpeciesLibraryFiltered  Best possible {0} for this filter
Body	Body
BonusLevel	Bonus Level
Bow	Bow
BPCancelRestrictionOn  Cancel restriction on {0}
BPorMutations	or mutations
BPsomeCreaturesAreFilteredOutTags	Some creatures are filtered out due to their tags.
BPsomePairingsAreFilteredOutMutations	Some pairs could be filtered out due to their mutations.
BPTopStatsShownMightNotTotalTopStats	The top-stats shown here might not be the top-stats of your entire library.
bred	Bred
BreedingNotPossible	Breeding not possible
BreedingPlan	Breeding Plan
BreedingPlanHelpToolStripMenuItem	Breeding Plan…
breedingValue	Breeding Value
btAdd2Library	Add new to Library
btAddWakeUpTimer	add Wake-up-Timer
BtApplyOTSPreset  Apply OTS Preset
BtApplyOTSPresetTT  Set the values for owner, tribe and server from the saved preset
BtBeepFailure  import failed
BtBeepFailureTT  This sound is played when an automatic import failed, manual selection of levels may be needed.
BtBeepNewTop  new top stat
BtBeepNewTopTT  This sound is played when an automatic imported creature has a higher level in a stat than all other creatures of that species in the library
BtBeepSuccess  import success
BtBeepSuccessTT  This sound is played when an automatic import succeeded
BtBeepTop  top stat
BtBeepTopTT  This sound is played when a level of the imported creature is a top stat, i.e. equal to the current highest level in the library
btBPApplyNewWeights	Apply new Weightings
btBPJustMated	These Parents just mated
btBPJustMatedTT	Click to create an incubation-entry in the Raising-tab
btClearColorsTT	Click to clear all color-regions.
btExtractLevels	Extract Level Distribution
BtGetExportFolderAutomatically  Set export folder automatically
btImportLastExported	Last Export
btImportLastExportedTT	Import the creature-file that was exported last (ingame with the "Export Data"-function
btnAddStarvingTimer	add Starving-Timer
btnGenerateUniqueNameTT	"Generate automatic name
Right-click to edit the pattern."
btReadValuesFromArk	Read Values from ARK Window
btReadValuesFromArkTT	"Perfom an OCR on the opened inventory of a creature ingame.
To use this feature you have to enable OCR in the settings and load a ocr-config-file which is made for your screen-resolution in the OCR-tab."
